date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-09-21,6846,29000,2343000,81.1,81.3,80.2,80.4,-1.1,22,81.44820692520574,81.78148528245283,82.3460976672381,84.77696962302085
2023-09-22,6846,9000,724400,80.4,80.8,80.4,80.6,0.2,9,81.1654712834705,81.56666977655232,82.19426308747826,84.65228396263217
2023-09-25,6846,1000,81200,81.2,81.2,81.2,81.2,0.6,1,81.176980855647,81.5000025444519,82.10780542769754,84.54923071001629
2023-09-26,6846,11000,884500,80.4,80.5,80.4,80.5,-0.7,9,80.95132057043133,81.3181839000061,81.96799626007167,84.42835815150833
2023-09-27,6846,1000,82000,82.0,82.0,82.0,82.0,1.5,1,81.30088038028755,81.44215046364135,81.97077919397849,84.35586984847824
2023-09-28,6846,3000,241900,80.6,80.7,80.6,80.7,-1.3,3,81.1005869201917,81.30721401570656,81.86027665537166,84.24673940524008
2023-10-02,6846,1000,80300,80.3,80.3,80.3,80.3,-0.4,1,80.83372461346113,81.12408419466901,81.72460042446978,84.12892628866575
2023-10-03,6846,8000,643300,80.5,80.5,80.3,80.3,0.0,6,80.65581640897409,80.97425070472919,81.6007221266898,84.0146299815414
2023-10-04,6846,5000,400100,80.0,80.1,80.0,80.0,-0.3,5,80.43721093931606,80.79711421296024,81.461528898282,83.89479028059986
2023-10-05,6846,6000,481200,80.2,80.3,80.1,80.2,0.2,4,80.35814062621071,80.68854799242202,81.351830733214,83.78449803341778
2023-10-06,6846,6000,483100,80.5,80.6,80.4,80.4,0.2,4,80.37209375080714,80.63608472107256,81.26906284336931,83.68346824137545
2023-10-11,6846,15000,1202100,80.5,80.5,79.8,79.8,-0.6,11,80.18139583387142,80.4840693172412,81.14131824829371,83.56754381625977
2023-10-12,6846,21000,1668100,79.8,80.0,79.0,79.0,-0.8,21,79.78759722258094,80.21423853228825,80.95511666148556,83.43119922472962
2023-10-13,6846,15000,1172700,79.0,79.0,76.9,79.0,0.0,15,79.52506481505397,79.99346789005402,80.78510651700856,83.29892462100635
2023-10-16,6846,1000,78500,78.5,78.5,78.5,78.5,-0.5,1,79.1833765433693,79.72192827368056,80.58640160248608,83.15567313978228
2023-10-17,6846,53000,4069800,76.6,77.3,76.4,76.6,-1.9,40,78.32225102891287,79.15430495119318,80.2397579848786,82.95998140426639
2023-10-18,6846,9000,685800,76.6,76.6,76.0,76.0,-0.6,9,77.54816735260859,78.58079496006715,79.87108337749784,82.75222076533306
2023-10-19,6846,11000,831200,74.8,76.5,74.6,76.5,0.5,10,77.1987782350724,78.2024686036913,79.57794569249803,82.56558730965148
2023-10-20,6846,7000,527800,75.0,76.0,74.8,76.0,-0.5,7,76.79918549004826,77.80201976665651,79.2668199801069,82.36959962876635
2023-10-23,6846,14000,1063500,76.0,76.0,75.7,76.0,0.0,9,76.53279032669884,77.4743798090826,78.98274867748891,82.17946232641512
