date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-05-05,6708,20000,981750,49.5,49.5,48.7,48.7,0.0,19,48.732013010742634,49.469174351190496,51.50071616899275,55.77133094683886
2023-05-08,6708,31000,1520750,49.0,49.45,48.65,48.7,0.0,25,48.72134200716176,49.329324469155864,51.2571756325586,55.56024644096307
2023-05-09,6708,12000,584750,48.7,49.4,48.55,48.55,-0.15,11,48.66422800477451,49.18762911112753,51.021769055814374,55.35098535317313
2023-05-10,6708,15000,733050,49.0,49.0,48.7,48.95,0.4,15,48.75948533651634,49.14442381819525,50.841615224874,55.15991116352617
2023-05-11,6708,27000,1313950,48.7,49.35,48.2,48.9,-0.05,21,48.80632355767756,49.09998312397793,50.672779118363216,54.97304814371942
2023-05-12,6708,7000,341650,49.0,49.0,48.45,48.95,0.05,7,48.85421570511837,49.07271346507285,50.522972238505545,54.79325566181735
2023-05-15,6708,22000,1068200,48.9,48.95,47.65,47.65,-1.3,19,48.452810470078916,48.81403828960506,50.27314856559202,54.58002414952429
2023-05-16,6708,46000,2189100,48.0,48.0,47.2,47.25,-0.4,41,48.05187364671928,48.52966769149505,50.01026608162749,54.36121745849371
2023-05-17,6708,48000,2259100,47.2,47.25,46.7,46.7,-0.55,45,47.601249097812854,48.19700083849595,49.72241685713814,54.132524400031215
2023-05-18,6708,36000,1683800,46.65,46.95,46.65,46.7,0.0,34,47.30083273187524,47.924818867860324,49.459597999995694,53.91065800003028
2023-05-19,6708,40000,1866700,47.0,47.9,46.45,46.45,-0.25,33,47.01722182125016,47.65666998279481,49.197893826083025,53.687951791074155
2023-05-22,6708,30000,1389000,46.45,46.45,46.0,46.05,-0.4,28,46.69481454750011,47.364548167741205,48.92416392816276,53.45995323014657
2023-05-23,6708,62000,2821950,46.05,46.05,45.2,45.45,-0.6,46,46.27987636500007,47.01644850087917,48.622062717018174,53.22085014864965
2023-05-24,6708,69000,3094200,45.1,45.1,44.7,44.8,-0.65,57,45.78658424333338,46.61345786435569,48.289709437277466,52.96948148749593
2023-05-25,6708,191000,9251950,45.3,49.25,44.8,49.25,4.45,153,46.94105616222225,47.09282916174556,48.37321296447073,52.85845218936173
2023-05-26,6708,304000,16258700,50.0,54.1,50.0,54.1,4.85,226,49.32737077481484,48.36686022324637,48.871194445821104,52.895513318037494
2023-05-29,6708,826000,48985000,59.5,59.5,58.0,59.5,5.4,613,52.71824718320989,50.39106745538339,49.79543840705405,53.09266217421548
2023-05-30,6708,609000,36589300,64.5,64.5,57.2,58.8,-0.7,481,54.74549812213993,51.91996428167732,50.578443762962394,53.263030467522476
2023-05-31,6708,204000,11885500,57.5,59.0,57.5,58.0,-0.8,156,55.83033208142662,53.02542532137235,51.223796479226536,53.40443254311882
2023-06-01,6708,134000,7698900,58.0,59.0,56.3,56.6,-1.4,107,56.086888054284415,53.675347990213744,51.691292437554665,53.49982261645856
2023-06-02,6708,196000,10811000,56.6,57.0,54.5,55.2,-1.4,138,55.791258702856275,53.95255744653852,51.996397442984694,53.55057418014636
2023-06-05,6708,112000,6403700,55.6,59.3,55.6,56.2,1.0,103,55.92750580190418,54.361183365349696,52.36192810011646,53.629661518052444
2023-06-06,6708,115000,6097400,52.0,55.2,52.0,53.2,-3.0,88,55.01833720126945,54.1500591171043,52.43480391749764,53.616835801095654
2023-06-07,6708,93000,5024900,53.2,55.5,53.2,54.2,1.0,77,54.74555813417964,54.15913927763079,52.58829922901958,53.63424368763011
2023-06-08,6708,72000,3884900,54.2,54.9,53.0,54.0,-0.2,55,54.49703875611976,54.130204863516106,52.71105581780049,53.645161786506826
2023-06-09,6708,46000,2519100,56.0,56.0,54.2,54.9,0.9,41,54.63135917074651,54.27016761560409,52.901398790165665,53.682619643626026
2023-06-12,6708,39000,2108200,54.9,54.9,53.8,53.8,-1.1,36,54.35423944716434,54.18468259458516,52.979538025803436,53.68612353486107
2023-06-13,6708,46000,2476400,54.0,54.2,53.6,53.6,-0.2,42,54.10282629810956,54.078376668296954,53.033491240950966,53.68355268307417
2023-06-14,6708,56000,2975600,53.2,53.3,53.0,53.0,-0.6,42,53.735217532073044,53.882308183152055,53.030578959129144,53.66314812537046
2023-06-15,6708,70000,3663900,53.0,53.0,52.1,52.3,-0.7,62,53.25681168804869,53.594615786215314,52.96705035398748,53.622457136553436
2023-06-16,6708,29000,1518600,52.4,52.5,52.1,52.2,-0.1,27,52.904541125365796,53.34104927963071,52.90035032320596,53.57999572949214
2023-06-19,6708,54000,2854000,52.2,53.7,52.0,53.0,0.8,43,52.936360750243864,53.279040319697856,52.9090155124924,53.56268242413417
2023-06-20,6708,22000,1150400,52.5,52.6,52.1,52.3,-0.7,18,52.72424050016257,53.1010329888437,52.85605764184089,53.524990411473446
2023-06-21,6708,33000,1762800,55.1,55.1,52.8,53.6,1.3,33,53.01616033344172,53.19175426359939,52.920748281680815,53.527229503668266
2023-06-26,6708,35000,1833800,53.4,53.4,52.2,52.4,-1.2,32,52.81077355562781,53.04779894294496,52.87546582240422,53.49358086176772
2023-06-27,6708,27000,1402500,52.3,52.3,51.5,51.6,-0.8,22,52.40718237041854,52.78456277150042,52.764555750890814,53.437056059923904
2023-06-28,6708,25000,1276200,51.6,51.6,50.8,50.8,-0.8,23,51.87145491361236,52.42373317668216,52.59372481603074,53.358337968582894
2023-06-29,6708,52000,2611100,50.7,50.7,50.0,50.1,-0.7,36,51.28096994240824,52.001236235467225,52.37687917985416,53.2610741486252
2023-06-30,6708,67000,3372000,51.4,51.4,49.7,50.3,0.2,37,50.95397996160549,51.691920556291365,52.196280990301624,53.17268387553191
2023-07-03,6708,31000,1574400,52.4,52.4,50.3,51.0,0.7,29,50.96931997440366,51.56611681878385,52.09225655636235,53.10782764044141
2023-07-04,6708,14000,706600,50.5,50.5,50.4,50.5,-0.5,12,50.812879982935776,51.372277397186785,51.953799464504755,53.0299820392342
2023-07-05,6708,31000,1563700,50.5,51.0,50.2,51.0,0.5,29,50.87525332195718,51.30459059769828,51.870860380634774,52.96938556045109
2023-07-06,6708,52000,2608550,51.0,51.0,49.9,50.1,-0.9,46,50.616835547971455,51.0855741253895,51.71687252144914,52.88373226013911
2023-07-07,6708,36000,1763800,49.2,49.6,48.6,49.5,-0.6,33,50.24455703198097,50.79728792077323,51.52410099784487,52.782725327000634
2023-07-10,6708,24000,1177150,49.45,49.9,48.8,49.0,-0.5,18,49.82970468798731,50.47050829881446,51.30461395455401,52.669808153060316
2023-07-11,6708,25000,1224650,49.0,49.5,48.8,48.8,-0.2,22,49.48646979199154,50.16677951721183,51.086821436766705,52.55429149177493
2023-07-12,6708,41000,1981650,48.9,48.9,47.6,48.8,0.0,35,49.25764652799436,49.91827415044604,50.88796739878699,52.44222308903538
2023-07-13,6708,40000,1903700,48.8,48.8,47.2,47.55,-1.25,38,48.688431018662904,49.48767885036494,50.59770936410986,52.29618657891492
