StockID,FirstDate
3632,2011-01-11
3687,2011-01-11
3131,2011-01-17
8410,2011-02-23
3363,2011-02-25
8403,2011-03-01
3624,2011-03-16
4911,2011-03-21
3234,2011-03-24
2718,2011-03-29
1337,2011-04-14
1339,2011-04-14
1589,2011-04-14
1789,2011-04-14
2722,2011-04-14
2727,2011-04-14
3149,2011-04-14
3645,2011-04-14
3669,2011-04-14
3679,2011-04-14
4142,2011-04-14
4934,2011-04-14
4952,2011-04-14
4956,2011-04-14
4958,2011-04-14
4960,2011-04-14
5215,2011-04-14
5871,2011-04-14
5880,2011-04-14
5906,2011-04-14
5907,2011-04-14
8011,2011-04-14
8411,2011-04-14
8422,2011-04-14
911622,2011-04-14
4139,2011-04-29
4912,2011-04-29
6506,2011-05-03
3528,2011-05-18
4430,2011-06-09
4946,2011-06-10
4933,2011-07-29
4735,2011-08-16
3680,2011-08-31
4966,2011-09-13
4939,2011-09-19
4743,2011-09-23
1595,2011-10-04
4924,2011-10-18
4927,2011-10-18
3379,2011-10-20
3555,2011-11-08
2233,2011-11-14
3176,2011-11-23
4974,2011-11-29
8291,2011-11-29
4739,2011-12-01
2924,2011-12-02
8418,2011-12-06
4979,2011-12-12
3105,2011-12-13
4994,2011-12-13
8426,2011-12-13
1259,2011-12-15
8171,2011-12-19
4154,2011-12-28
1586,2012-01-09
4728,2012-01-10
4130,2012-01-12
2719,2012-02-24
8423,2012-03-14
4987,2012-03-21
1591,2012-03-23
3646,2012-03-27
8432,2012-04-30
4995,2012-05-09
2724,2012-05-29
5230,2012-06-05
1593,2012-06-13
4973,2012-06-19
3675,2012-06-29
5234,2012-07-16
3285,2012-07-23
1256,2012-09-05
2729,2012-09-17
4160,2012-09-17
4162,2012-09-18
8416,2012-09-19
4915,2012-10-05
3689,2012-10-18
9802,2012-10-18
4164,2012-10-24
2867,2012-11-05
2923,2012-11-05
4976,2012-11-05
5225,2012-11-05
2640,2012-11-07
4163,2012-11-15
3663,2012-11-20
8421,2012-11-23
4432,2012-11-26
5251,2012-11-26
3163,2012-12-03
4168,2012-12-18
5263,2012-12-18
8155,2012-12-18
8424,2012-12-18
1338,2012-12-19
8433,2012-12-19
8429,2012-12-20
1599,2012-12-25
1597,2012-12-28
8435,2012-12-28
2926,2013-01-30
4745,2013-01-30
3583,2013-03-12
1626,2013-03-21
2230,2013-04-18
8147,2013-04-30
3594,2013-05-07
6504,2013-05-07
4153,2013-05-23
5272,2013-05-30
4999,2013-06-03
5278,2013-06-04
4972,2013-06-17
8176,2013-06-25
4161,2013-06-26
4971,2013-07-24
3706,2013-09-12
8436,2013-09-12
2066,2013-09-24
2731,2013-09-24
4536,2013-10-09
3167,2013-10-21
1817,2013-10-24
4173,2013-10-31
6412,2013-11-08
1786,2013-11-12
4977,2013-11-20
4916,2013-11-21
8038,2013-11-21
2228,2013-11-25
5243,2013-11-25
8409,2013-11-25
3693,2013-11-27
4137,2013-11-27
4755,2013-11-27
5289,2013-11-27
6405,2013-11-28
2712,2013-12-03
3564,2013-12-03
5227,2013-12-09
2642,2013-12-12
6415,2013-12-12
3338,2013-12-13
5538,2013-12-16
8446,2013-12-19
1783,2013-12-20
2115,2013-12-25
4726,2013-12-25
4747,2013-12-25
2734,2013-12-26
2929,2013-12-30
3558,2013-12-30
4953,2014-01-08
1340,2014-01-14
4157,2014-01-17
5287,2014-01-20
5285,2014-02-25
6411,2014-03-11
3141,2014-03-14
3684,2014-03-28
6414,2014-03-28
8150,2014-04-11
4175,2014-04-23
1568,2014-05-14
2067,2014-05-26
2634,2014-06-12
3437,2014-06-12
5276,2014-06-12
5288,2014-06-12
6431,2014-06-12
6449,2014-06-12
8443,2014-06-12
4541,2014-07-22
